price,street,beds,baths,sq ft,link
1200000,"1121 Henninger St, Austin, TX 78702",3 beds,2 baths,"1,144",www.redfin.com/TX/Austin/1121-Henninger-St-78702/home/31375278
599999,"5902 Rangeland Rd, Austin, TX 78747",4 beds,3 baths,"2,564",www.redfin.com/TX/Austin/5902-Rangeland-Rd-78747/home/176240001
299900,"15105 Verela Dr, Austin, TX 78725",4 beds,2.5 baths,"1,798",www.redfin.com/TX/Austin/15105-Verela-Dr-78725/home/57387417
475000,"800 Embassy Dr #322, Austin, TX 78702",2 beds,2 baths,"1,120",www.redfin.com/TX/Austin/800-Embassy-Dr-78702/unit-322/home/113607311
739900,"1110 3/4 Fiesta St #1, Austin, TX 78702",3 beds,2.5 baths,"2,213",www.redfin.com/TX/Austin/1110-3-4-Fiesta-St-78702/unit-1/home/197833404
650000,"6209 Reicher Dr, Austin, TX 78723",5 beds,2 baths,"1,800",www.redfin.com/TX/Austin/6209-Reicher-Dr-78723/home/31434377
994500,"2700 Pearce Rd, Austin, TX 78730",4 beds,2 baths,"2,095",www.redfin.com/TX/Austin/2700-Pearce-Rd-78730/home/31252188
975000,"1600 S 1st St #403, Austin, TX 78704",2 beds,2 baths,120,www.redfin.com/TX/Austin/1600-S-1st-St-78704/unit-403/home/176238886
379000,"12001 Vista Parke Dr #1204, Austin, TX 78726",2 beds,2 baths,"1,396",www.redfin.com/TX/Austin/12001-Vista-Parke-Dr-78726/unit-1204/home/179155150
625000,"5622 Parade Rdg, Austin, TX 78731",3 beds,2.5 baths,"1,994",www.redfin.com/TX/Austin/5622-Parade-Rdg-78731/home/31277262
3500000,"4800 Toreador Dr, Austin, TX 78746",5 beds,5.5 baths,"5,517",www.redfin.com/TX/Austin/4800-Toreador-Dr-78746/home/31246736
475000,"6904 Cherry Meadow Dr, Austin, TX 78745",3 beds,1.5 baths,"1,315",www.redfin.com/TX/Austin/6904-Cherry-Meadow-Dr-78745/home/31762226
320000,"14815 Avery Ranch Blvd Unit 19E, Austin, TX 78717",3 beds,2.5 baths,"1,654",www.redfin.com/TX/Austin/14815-Avery-Ranch-Blvd-78717/unit-19E/home/32669448
120000,"6444 Burnet Rd #305, Austin, TX 78757",0 beds,1 bath,400,www.redfin.com/TX/Austin/6444-Burnet-Rd-78757/unit-305/home/147338312
7400000,"14701 Hornsby Hill Rd, Austin, TX 78734",6 beds,7 baths,"7,446",www.redfin.com/TX/Austin/14701-Hornsby-Hill-Rd-78734/home/31314358
1000000,"3135 Eanes Cir, Austin, TX 78746",3 beds,2 baths,"2,003",www.redfin.com/TX/Austin/3135-Eanes-Cir-78746/home/31211088
429000,"9714 Copper Creek Dr, Austin, TX 78729",3 beds,2.5 baths,"2,155",www.redfin.com/TX/Austin/9714-Copper-Creek-Dr-78729/home/32815984
2825000,"183 Tiffanie Way, Austin, TX 78737",4 beds,4.5 baths,"4,810",www.redfin.com/TX/Austin/183-Tiffanie-Way-78737/home/161402973
375000,"48 East Ave #1102, Austin, TX 78701",0 beds,1 bath,450,www.redfin.com/TX/Austin/48-East-Ave-78701/unit-1102/home/187488271
850000,"7601 Crackling Creek Dr, Austin, TX 78736",5 beds,4 baths,"3,692",www.redfin.com/TX/Austin/7601-Crackling-Creek-Dr-78736/home/31701012
214500,"11901 E Swearingen Dr #125, Austin, TX 78758",1 bed,1 bath,546,www.redfin.com/TX/Austin/11901-Swearingen-Dr-78758/unit-125/home/31534707
520000,"3102 Berrylawn Cir, Austin, TX 78723",3 beds,2 baths,"1,801",www.redfin.com/TX/Austin/3102-Berrylawn-Cir-78723/home/31434383
270000,"10808 Pinehurst Dr Unit A, Austin, TX 78747",2 beds,2 baths,"1,406",www.redfin.com/TX/Austin/10808-Pinehurst-Dr-78747/unit-A/home/31842797
550000,"4505 Hoffman Dr, Austin, TX 78749",3 beds,2 baths,"1,755",www.redfin.com/TX/Austin/4505-Hoffman-Dr-78749/home/31777456
